1390	Visual improvements|Created by AI|Enhancement	feat(fsl): `oarrange` — ordered arrange (same-rank + enforced left-to-right placement)
1387	Enhancement|Status: Needs design	fsl-instance: live machine rebuild on fsl change (enables fsl-editor dual-mode write-back)
1384	Enhancement	fsl-editor: Stochastic tab — interact with a machine on a statistical basis
1381		Hierarchical / pushdown states (nested state contexts with a state stack)
1380	Bug|FSL	machine_language attribute parses but machine_language() always returns undefined
1377	Test suite|Internationalization	Universal character set test - viz/dot rendering
1376	Test suite|Internationalization	Universal character set test - config default-state blocks
1375	Test suite|Internationalization	Universal character set test - config state lists
1374	Test suite|Internationalization	Universal character set test - arrange declarations
1373	Test suite|Internationalization	Universal character set test - image and url style items
1372	Test suite|Internationalization	Universal character set test - state properties
1371	Test suite|Internationalization	Universal character set test - machine metadata fields
1370	Test suite|Internationalization	Universal character set test - hooks
1369	Test suite|Internationalization	Universal character set test - state-declaration names
1368	Test suite|Internationalization	Universal character set test - group and named-list names
1367	Test suite|Internationalization	Universal character set test - edge labels
1366	Cleanup|Refactor|FSL	Remove dead whargarbl/todo config grammar stubs
1339	Needs implementation|Graph language|Types|Documentation and docgen|Enhancement|FSL	feat(fsl): hooks_closed machine attribute (boolean, default false)
1338	Needs implementation|Graph language|Documentation and docgen|Enhancement|FSL|Visualizations	feat(fsl): default_size machine attribute (render-size hint, default undefined)
1337	Needs implementation|Package managers|Documentation and docgen|Needs a feature|Enhancement|FSL	feat(fsl): npm_name machine attribute (string, default undefined)
1336	Needs implementation|Graph language|Needs a feature|Enhancement|Typescript|FSL	feat(fsl): failed_outputs machine attribute (state or list of states, default empty)
1335	Needs implementation|Static analysis|Needs tests|Needs a feature|Enhancement|FSL	feat(fsl): allow_islands machine attribute (true | false | with_start, default true)
1334	Stochastics|Widgets|Frontend|Needs a feature|Enhancement|FSL|Status: Needs design|Needs spec	feat(wc): editor/panel defaults declarable in FSL (stochastic run count, request-mode panels)
1333	Widgets|Frontend|Needs a feature|Enhancement|Status: Needs design	feat(wc): panel modes — hide / show / default / request
1329	Bug|Core	machine context was missing on some error messages
1328	Bug|Core|FSL	Parser pushes undefined into theme list
1327	Bug|Core|Typescript	After hook handler invoked twice
1326	Bug|Needs tests|Typescript|API	list_exit_actions throws for actionless states
1325	Bug|Stochastic machines|Core|Typescript	probable_exits_for uses wrong state
1324	Needs implementation|Bug|Core|Typescript	is_hook_complex_result crashes on null
1323	Stochastics|Bug|Stochastic machines|Core	rng seed setter isn't re-generating rng
1322	Bug|Core|Typescript	deserialize doesn't gate differing semver segment counts correctly
1321	Needs implementation|Bug|Core|Typescript	_post_transition_hooks are not being honored in valid transition type determination
1320	Stochastics|Bug	histograph/1 mutates the input
1319	Bug|Low hanging fruit|Cosmetic	error message for state gave prop title by accident
1318	Bug|Needs information	unique/1 throws when argument is undefined
1316	Stochastics|Bug|Low hanging fruit|Typescript	rng not honored on weighted_rand_select
1314	Tooling|Enhancement|Build infrastructure|Security|CI/CD|Modernize	Modernize NPM publish beyond access token nonsense
1312	Graph language|Bug|FSL	Missing mixed arrow types from arrow_right_kind
1311	Graph language|Bug|FSL	Missing mixed arrow types from arrow_left_kind
1308	Ease of use|Tutorials|Integrations|Documentation and docgen|Enhancement	Guide on setting up jssm and jssm-viz
1305	Graph language|Issue needs work|Uncertain|Needs a feature|Enhancement	Consider specifying timings
1304	Bug|Intend to close|Javascript|Web	The "after 200ms" should be reported by hook_any_action
1302	High priority|Functional language|Test suite|Ease of use|Bug|Needs tests|Status: Underway|Core|Javascript|Typescript	.data() returns by reference instead of a copy, causing the outside to be likely to corrupt the guts on write
1301	Editors|Documentation and docgen|Question	Where is the source code for the live editor?
1300	Ease of use|Graph language|Intend to close|Composition|Needs a feature|Enhancement	Composable state machines?
1298	Machine use cases|Test suite|Ease of use|Core|Enhancement|Features	hook_everything
1297	Editors|High priority|Use cases|Ease of use|Site use cases|Integrations|Visual improvements|Enhancement|Visualizations	viz graph needs to self update now, due to operator after
1296	High priority|Graph language|Bug|Types|Low hanging fruit|Typescript|Visualizations	neato missing from JssmLayout type
1295	Bug|Types|Intend to close|Build|Package Quality|Solution proposed|Typescript	jssm does not work with TypeScript's Node16/NodeNext/Bundler moduleResolution
1294	Chore|Dependencies|Build infrastructure|CI/CD	node 24 is out; support in ci/cd
1293	High priority|Test suite|Ease of use|Needs tests|Status: Underway|Low hanging fruit|Enhancement	Set starting state: tests on working at the same time as data init
1292	High priority|Test suite|Ease of use|Needs tests|Status: Underway|Low hanging fruit|FSL	Set starting state: tests on iterating the entire start state list
1291	High priority|Test suite|Ease of use|Bug|Needs tests|Status: Underway|Low hanging fruit	Set starting state: tests on failing because not a real state despite non-start-state flag
1290	High priority|Test suite|Ease of use|Bug|Status: Underway|Low hanging fruit|Core	Set starting state: tests on failing because not a real state
1289	Chore|High priority|Test suite|Ease of use|Needs tests|Status: Underway|Low hanging fruit	Set starting state: tests on succeeding without start state list because flag
1288	High priority|Test suite|Ease of use|Bug|Status: Underway|Low hanging fruit	Set starting state: tests on failing because not in start state list
1287	High priority|Test suite|Ease of use|Needs tests|Status: Underway|Low hanging fruit|Core	Set starting state: tests on succeeding
1286	Needs implementation|High priority|Ease of use|Status: Underway|Low hanging fruit|Needs a feature|Enhancement|API	Set starting state: base ability in options
1285	Needs implementation|High priority|Machine use cases|Ease of use|Bug|List issue|Status: Underway|Low hanging fruit|Core	Set starting state
1278	Needs research|Tooling|Build|Typescript|Build infrastructure	Build target matrix - do something about ts-node
1268	High priority|Bug|Needs tests|Low hanging fruit|Core|Typescript	Timer following isn't clearing previous timer
1267	Cleanup|Static analysis|Ease of use|Enhancement|Blocks others	`arrange` of a node that does not exist should be an error
1266	Very powerful|Performance|Status: Underway|Needs a feature|Core|Enhancement|Typescript	Support for custom `setTimeout` and `clearTimeout` for after mapping
1265	Needs implementation|Tooling|High priority|Ease of use|Ease of contribution|Low hanging fruit|Environments|Frontend|Needs a feature|Enhancement|Web	Make a browser runner, to get access to step debugging in the browser debugger
1263	Low priority|Bug|Build|Build infrastructure	Twitter step in build process hadn't yet commuted to .cjs
1262	Low priority|Readme|Bug|Documentation and docgen|Build	line_run_ratio in readme is lost
1261	Tooling|Bug|Visual improvements	line count header is wrong because of toLocaleString differences
1260	Tooling|Test suite|Bug|Build	Can't import in `vitest` because of lack of `type: module` in package
1259	High priority|Machine use cases|Bug|Needs tests|Core|Typescript|Status: Needs reproduction	Possible loss of `data` in `transition_impl`
1258	Static analysis|Graph language|Bug|Issue needs work|Needs tests|Low hanging fruit|Solution proposed|Visualizations	dot graph output for arrange of a node that doesn't exist is bizarrely fictional
1253	Needs research|Chore|Graph language|Bug|Needs tests|FSL|Unconfirmed	Vague memory that edge attributes may somehow be order-locked
1250	Chore|High priority|Cleanup|Stochastics|Bug|Status: Underway|Low hanging fruit|Stochastic machines|Refactor|Typescript	Replace mulberry rng, now known to be problematic, with splitmix32
1242	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Low hanging fruit|CI/CD	Fix change diffs
1238	Examples|Machine use cases|Use cases|Tutorials|Integrations	Practical network DB write machine
1237	Widgets|Integrations|Enhancement|Needs information	Make a GH Block
1236	Readme|Bug|Documentation and docgen	Version number in README is borked
1235	Package managers|Bug|Integrations|Build infrastructure|CI/CD	Deno module not updating because of hook/gha race
1234	Machine use cases|Ease of use|Graph language|Needs a feature|Enhancement	Multiple actions to one state
1233	Needs implementation|High priority|Ease of use|Needs a feature|Enhancement	Handlers need to be able to see next data
1232	Needs implementation|Issue needs work	Implement override
1231	Enhancement|Needs information|API	Getter for code override
1230	Enhancement|Needs information|API	Getter for config override
1229	Enhancement|Needs information|API	Getter for override
1228	Needs implementation|Issue needs work|Needs a feature|Core|Enhancement|FSL	Implement allow_override attribute in machine
1227	Enhancement|Needs information|Codegen	Allow override attribute in compiler
